!!!	국가	미국
!!!	장르	댄스 펑크
!!!	장르	인디 록
+44	국가	미국
+44	장르	얼터너티브 록
+44	장르	팝 펑크
0시	감독	이만희
0시	국가	대한민국
0시	언어	한국어
0시	저자	이희우
10cc	국가	영국
10cc	장르	록
10cc	장르	소프트 록
10cc	장르	아트 록
10cc	장르	팝 록
10분	감독	이용승
10분	국가	대한민국
10분	배급	롯데엔터테인먼트
10분	언어	한국어
10분	음악	김홍희
10분	저자	김다현
10분	제작	김동호
11번가	국가	대한민국
11번가	모기관	SK텔레콤
11번가	본사위치	대한민국
11번가	전신	SK플래닛
120BPM	감독	로뱅 캉피요
120BPM	국가	프랑스
120BPM	언어	프랑스어
120BPM	저자	로뱅 캉피요
120BPM	편집	로뱅 캉피요
12피트	국가	미국
12피트	언어	영어
13구역	국가	프랑스
13구역	언어	프랑스어
13시간	감독	마이클 베이
13시간	국가	미국
13시간	언어	영어
13시간	음악	론 밸프
13시간	제작	마이클 베이
13시간	촬영	디온 비비
13시간	출연	제임스 배지 데일
13층	배급	컬럼비아 픽처스
13층	언어	영어
13층	제작비	000
15분	국가	미국
15분	언어	영어
16개하천	국가	중화민국
16개하천	시간	90분
16개하천	장르	텔레비전 드라마
16개하천	제작	TVBS
1943카이	개발사	캡콤
1943카이	배급	캡콤
1943카이	장르	슈팅 게임
1Q84	국가	일본
1Q84	번역	양윤옥
1Q84	언어	일본어
1Q84	장르	소설
1Q84	출판사	문학동네
1Q84	출판사	신초샤
1UP.com	년도	2003년
1UP.com	소유자	IGN
1UP.com	언어	영어
2014인천아시아경기대회조직위원회	본부	대한민국
2014인천아시아경기대회조직위원회	언어	한글
2018평창동계올림픽대회및동계패럴림픽대회조직위원회	국가	대한민국
2018평창동계올림픽대회및동계패럴림픽대회조직위원회	본사위치	대한민국
2018평창동계올림픽대회및동계패럴림픽대회조직위원회	주소	대한민국
20B	언어	한국어
20B	장르	발라드
20B	종류	CD
2Me	녹음	DSP 미디어
2Me	작사가	주영훈
2NB	장르	발라드
2NE1	그룹	YG 엔터테인먼트
2NE1	음반레이블	YGEX
2NE1	음반레이블	지니뮤직
2NE1	장르	K-pop
2NE1	장르	일렉트로닉
2NE1	장르	일렉트로팝
2NE1	장르	하우스
2NE1	장르	힙합
2PM	국가	대한민국
2PM	국가	미국
2PM	그룹	JYP 엔터테인먼트
2PM	음반레이블	에픽 레코드 재팬
2PM	음반레이블	지니뮤직
2PM	장르	K-pop
2PM	장르	댄스 팝
